day,time,,wea,tem,hum,win,dir,winclass,rain,tembody
2019/1/14,17:00,,局部多云,4℃,22%,清风,西北风,5级,-,2℃
2019/1/14,18:00,,局部多云,3℃,20%,劲风,西北风,7级,-,0℃
2019/1/14,19:00,,局部多云,2℃,18%,大风,西北风,8级,-,-2℃
2019/1/14,20:00,,局部多云,2℃,15%,烈风,西北风,9级,-,-4℃
2019/1/14,21:00,,局部多云,1℃,18%,狂风,西北风,10级,-,-5℃
2019/1/14,22:00,,局部多云,0℃,20%,狂风,西北风,10级,-,-6℃
2019/1/14,23:00,,局部多云,-1℃,22%,狂风,西北风,10级,-,-7℃
2019/1/15,0:00,,晴朗,-2℃,14%,狂风,西北风,10级,-,-9℃
2019/1/15,1:00,,晴朗,-3℃,13%,狂风,西北风,10级,-,-10℃
2019/1/15,2:00,,晴朗,-3℃,12%,狂风,西北风,10级,-,-10℃
2019/1/15,3:00,,晴朗,-4℃,12%,狂风,西北风,10级,-,-11℃
